,Name,Platform,Year_of_Release,Genre,Publisher,Developer,Rating
0,Wii Sports,Wii,2006.0,Sports,Nintendo,Nintendo,E
1,Super Mario Bros.,NES,1985.0,Platform,Nintendo,,
2,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,Nintendo,E
3,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,Nintendo,E
4,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,,
5,Tetris,GB,1989.0,Puzzle,Nintendo,,
6,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,Nintendo,E
7,Wii Play,Wii,2006.0,Misc,Nintendo,Nintendo,E
8,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,Nintendo,E
9,Duck Hunt,NES,1984.0,Shooter,Nintendo,,
10,Nintendogs,DS,2005.0,Simulation,Nintendo,,
11,Mario Kart DS,DS,2005.0,Racing,Nintendo,Nintendo,E
12,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,,
13,Wii Fit,Wii,2007.0,Sports,Nintendo,Nintendo,E
14,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,Good Science Studio,E
15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,Nintendo,E
16,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,Rockstar North,M
17,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,Rockstar North,M
18,Super Mario World,SNES,1990.0,Platform,Nintendo,,
19,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,Nintendo,E
20,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,,
21,Super Mario Land,GB,1989.0,Platform,Nintendo,,
22,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,,
23,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,Rockstar North,M
24,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,Rockstar North,M
25,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,,
26,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,Nintendo,E
27,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,,
28,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,Polyphony Digital,E
29,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
30,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,,
31,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,,
32,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,Treyarch,M
33,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,,
34,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,Treyarch,M
35,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,Treyarch,M
36,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,Infinity Ward,M
37,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
38,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,DMA Design,M
39,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,Game Arts,T
40,Mario Kart 7,3DS,2011.0,Racing,Nintendo,"Retro Studios, Entertainment Analysis & Development Division",E
